Item,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks),p,Cummulative Sum,Cummulative Percentage,Class
86,7608,76.78,10,0.09821831,4.915354156,51.09299876,C
77,8000,3.66,6,0.097721802,5.013075958,52.10877499,C
43,8000,2.42,8,0.097721802,5.11079776,53.12455121,C
82,8000,3.66,10,0.097721802,5.208519561,54.14032744,C
62,8000,3.51,12,0.097721802,5.306241363,55.15610366,C
34,8300,69.17,12,0.097340974,5.403582337,56.16792135,C
60,8712,88.76,8,0.096816823,5.500399161,57.17429071,C
45,9112,68.04,8,0.096306667,5.596705828,58.17535722,C
28,9204,42.81,10,0.096189157,5.692894985,59.17520227,C
14,10000,34.3,8,0.095169495,5.78806448,60.16444836,C
55,10000,35.46,8,0.095169495,5.883233975,61.15369445,C
46,10600,152.88,7,0.094397397,5.977631371,62.13491491,C
96,11520,2.49,6,0.093207903,6.070839275,63.10377109,C
47,12000,2.49,5,0.092584417,6.163423692,64.06614641,C
83,12000,3.66,4,0.092584417,6.256008108,65.02852172,C
24,12000,66.02,12,0.092584401,6.34859251,65.99089687,C
64,12788,64.42,10,0.091556558,6.440149068,66.94258804,C
98,13200,34.99,8,0.09101702,6.531166089,67.88867094,C
36,13600,25.51,8,0.09049176,6.621657849,68.82929398,C
91,13600,37.68,4,0.090491757,6.712149606,69.769917,C
27,13640,20.86,12,0.090439157,6.802588763,70.70999325,C
80,13840,6.31,8,0.090175924,6.892764687,71.64733331,C
53,13860,59.01,5,0.090149569,6.982914256,72.58439943,C
7,16000,2.55,6,0.087309899,7.070224155,73.49194839,C
17,18672,4.01,4,0.083703653,7.153927807,74.36201197,C
22,18776,36.73,12,0.083561869,7.237489677,75.23060177,C
16,18800,2.12,8,0.083529141,7.321018818,76.09885137,C
21,19200,2.26,10,0.082982728,7.404001545,76.96142124,C
89,19700,34.99,12,0.082297423,7.486298969,77.81686767,C
57,20000,2.49,6,0.081885017,7.568183985,78.6680273,C
84,20000,37.29,4,0.081885012,7.650068997,79.51918689,C
35,20000,64.36,8,0.081885001,7.731953999,80.37034637,C
18,20160,69.69,6,0.081664666,7.813618665,81.21921555,C
5,20400,38.1,12,0.081333681,7.894952345,82.06464429,C
66,20800,170.95,10,0.080780569,7.975732914,82.90432366,C
44,20840,2.36,8,0.08072529,8.056458204,83.74342843,C
13,20952,36.95,8,0.080570094,8.137028298,84.58092002,C
85,22800,42.62,8,0.077989965,8.215018263,85.39159225,C
2,89600,2.49,12,0.077305629,8.292323892,86.19515112,C
41,23400,34.99,4,0.077144184,8.369468076,86.99703184,C
19,24000,25.56,4,0.076294337,8.445762413,87.79007876,C
15,24000,35.17,8,0.076294335,8.522056748,88.58312565,C
23,24000,96.66,12,0.076294303,8.598351051,89.37617222,C
92,24120,34.99,8,0.076123871,8.674474922,90.16744722,C
42,26320,66.69,8,0.072968751,8.747443674,90.9259261,C
3,28200,81.45,6,0.070225799,8.817669473,91.65589317,C
20,28800,34.99,6,0.069340941,8.887010414,92.37666252,C
11,30000,34.99,6,0.067556943,8.954567357,93.07888797,C
90,30480,69.36,8,0.066837895,9.021405252,93.77363923,C
59,33840,69.04,8,0.061713269,9.083118521,94.4151222,C
65,34400,2.12,8,0.060842931,9.143961452,95.04755838,C
32,35200,34.99,10,0.059591105,9.203552557,95.66698236,C
12,36000,2.49,8,0.058329116,9.261881673,96.27328851,C
76,37444,34.99,6,0.056024614,9.317906287,96.85564035,C
69,40000,2.49,6,0.051857039,9.369763325,97.39467203,C
10,44000,95.03,10,0.045086762,9.414850087,97.86332958,C
1,44460,39.25,12,0.044287177,9.459137264,98.3236758,C
50,48276,38.1,8,0.037469237,9.496606501,98.71315245,C
68,77612,53.67,12,0.03307006,9.529676561,99.05690154,C
49,56228,62.34,12,0.022032648,9.551709209,99.28592147,C
79,73684,74.59,8,0.021428654,9.573137862,99.50866313,C
6,57360,70.32,4,0.019680364,9.592818226,99.71323208,C
51,58800,34.99,8,0.016629435,9.609447662,99.88608793,C
25,61408,58.87,16,0.010958804,9.620406466,100,C
